partner,month_label,fd_count,total_amount,total_active_days,total_billing
Bajaj Finance Ltd,2024-03,13,680000.0,228,0.0
Bajaj Finance Ltd,2024-04,13,680000.0,390,0.0
Bajaj Finance Ltd,2024-05,13,680000.0,403,0.0
Bajaj Finance Ltd,2024-06,13,680000.0,390,0.0
Bajaj Finance Ltd,2024-07,13,680000.0,403,0.0
Bajaj Finance Ltd,2024-08,14,730000.0,429,0.0
Bajaj Finance Ltd,2024-09,16,805000.0,459,0.0
Bajaj Finance Ltd,2024-10,19,911000.0,540,0.0
Bajaj Finance Ltd,2024-11,20,936000.0,599,0.0
Bajaj Finance Ltd,2024-12,21,951000.0,645,0.0
Bajaj Finance Ltd,2025-01,21,951000.0,651,0.0
Bajaj Finance Ltd,2025-02,24,1006000.0,650,0.0
Bajaj Finance Ltd,2025-03,27,1166000.0,771,0.0
Bajaj Finance Ltd,2025-04,56,1756000.0,1059,0.0
Bajaj Finance Ltd,2025-05,65,1984000.0,1887,0.0
Bajaj Finance Ltd,2025-06,67,2014000.0,1983,0.0
Bajaj Finance Ltd,2025-07,70,2104000.0,2093,0.0
Bajaj Finance Ltd,2025-08,75,2319000.0,2224,0.0
Bajaj Finance Ltd,2025-09,81,2599000.0,2324,0.0
Bajaj Finance Ltd,2025-10,85,2729000.0,2574,0.0
Bajaj Finance Ltd,2025-11,91,3059000.0,2651,0.0
Bajaj Finance Ltd,2025-12,92,3076000.0,2825,0.0
Bajaj Finance Ltd,2026-01,92,3076000.0,2830,0.0
Bajaj Finance Ltd,2026-02,90,3001000.0,2499,0.0
Bajaj Finance Ltd,2026-03,89,2986000.0,2728,0.0
Bajaj Finance Ltd,2026-04,87,2876000.0,2580,0.0
Bajaj Finance Ltd,2026-05,85,2830000.0,2575,0.0
Bajaj Finance Ltd,2026-06,81,2730000.0,2423,0.0
Bajaj Finance Ltd,2026-07,80,2715000.0,2432,0.0
Bajaj Finance Ltd,2026-08,77,2615000.0,2338,0.0
Bajaj Finance Ltd,2026-09,75,2495000.0,2222,0.0
Bajaj Finance Ltd,2026-10,74,2470000.0,2096,0.0
Bajaj Finance Ltd,2026-11,48,1935000.0,1371,0.0
Bajaj Finance Ltd,2026-12,41,1670000.0,1170,0.0
Bajaj Finance Ltd,2027-01,36,1575000.0,1094,0.0
Bajaj Finance Ltd,2027-02,35,1525000.0,980,0.0
Bajaj Finance Ltd,2027-03,35,1525000.0,1050,0.0
Bajaj Finance Ltd,2027-04,33,1460000.0,990,0.0
Bajaj Finance Ltd,2027-05,33,1460000.0,1023,0.0
Bajaj Finance Ltd,2027-06,33,1460000.0,990,0.0
Bajaj Finance Ltd,2027-07,33,1460000.0,1022,0.0
Bajaj Finance Ltd,2027-08,32,1445000.0,962,0.0
Bajaj Finance Ltd,2027-09,31,1415000.0,863,0.0
Bajaj Finance Ltd,2027-10,26,1125000.0,769,0.0
Bajaj Finance Ltd,2027-11,23,1045000.0,424,0.0
Bajaj Finance Ltd,2027-12,7,175000.0,214,0.0
Bajaj Finance Ltd,2028-01,6,158000.0,186,0.0
Bajaj Finance Ltd,2028-02,6,158000.0,174,0.0
Bajaj Finance Ltd,2028-03,6,158000.0,170,0.0
Bajaj Finance Ltd,2028-04,5,108000.0,150,0.0
Bajaj Finance Ltd,2028-05,5,108000.0,155,0.0
Bajaj Finance Ltd,2028-06,5,108000.0,150,0.0
Bajaj Finance Ltd,2028-07,5,108000.0,155,0.0
Bajaj Finance Ltd,2028-08,5,108000.0,155,0.0
Bajaj Finance Ltd,2028-09,5,108000.0,150,0.0
Bajaj Finance Ltd,2028-10,5,108000.0,117,0.0
Bajaj Finance Ltd,2028-11,3,68000.0,58,0.0
Mahindra Finance,2024-03,16,669000.0,301,0.0
Mahindra Finance,2024-04,38,1988000.0,961,0.0
Mahindra Finance,2024-05,42,2028000.0,1254,0.0
Mahindra Finance,2024-06,49,2398000.0,1375,0.0
Mahindra Finance,2024-07,58,2988000.0,1650,0.0
Mahindra Finance,2024-08,74,3807000.0,2100,0.0
Mahindra Finance,2024-09,86,4562000.0,2468,0.0
Mahindra Finance,2024-10,95,4968000.0,2869,0.0
Mahindra Finance,2024-11,95,4968000.0,2850,0.0
Mahindra Finance,2024-12,95,4968000.0,2945,0.0
Mahindra Finance,2025-01,95,4968000.0,2945,0.0
Mahindra Finance,2025-02,95,4968000.0,2660,0.0
Mahindra Finance,2025-03,95,4968000.0,2859,0.0
Mahindra Finance,2025-04,91,4929000.0,2424,0.0
Mahindra Finance,2025-05,81,4725000.0,2487,0.0
Mahindra Finance,2025-06,80,4715000.0,2264,0.0
Mahindra Finance,2025-07,72,4385000.0,2140,0.0
Mahindra Finance,2025-08,65,3530000.0,1953,0.0
Mahindra Finance,2025-09,62,3500000.0,1754,0.0
Mahindra Finance,2025-10,56,3180000.0,1629,0.0
Mahindra Finance,2025-11,48,2610000.0,1199,0.0
Mahindra Finance,2025-12,34,2041000.0,806,0.0
Mahindra Finance,2026-01,22,1286000.0,488,0.0
Mahindra Finance,2026-02,13,880000.0,364,0.0
Mahindra Finance,2026-03,13,880000.0,350,0.0
Mahindra Finance,2026-04,10,635000.0,271,0.0
Mahindra Finance,2026-05,8,605000.0,248,0.0
Mahindra Finance,2026-06,8,605000.0,240,0.0
Mahindra Finance,2026-07,8,605000.0,248,0.0
Mahindra Finance,2026-08,8,605000.0,228,0.0
Mahindra Finance,2026-09,7,600000.0,206,0.0
Mahindra Finance,2026-10,6,500000.0,156,0.0
Mahindra Finance,2026-11,5,470000.0,150,0.0
Mahindra Finance,2026-12,5,470000.0,155,0.0
Mahindra Finance,2027-01,5,470000.0,155,0.0
Mahindra Finance,2027-02,5,470000.0,135,0.0
Mahindra Finance,2027-03,4,420000.0,124,0.0
Mahindra Finance,2027-04,4,420000.0,120,0.0
Mahindra Finance,2027-05,4,420000.0,124,0.0
Mahindra Finance,2027-06,4,420000.0,120,0.0
Mahindra Finance,2027-07,4,420000.0,124,0.0
Mahindra Finance,2027-08,4,420000.0,101,0.0
Mahindra Finance,2027-09,3,220000.0,90,0.0
Mahindra Finance,2027-10,3,220000.0,93,0.0
Mahindra Finance,2027-11,3,220000.0,90,0.0
Mahindra Finance,2027-12,3,220000.0,93,0.0
Mahindra Finance,2028-01,3,220000.0,93,0.0
Mahindra Finance,2028-02,3,220000.0,87,0.0
Mahindra Finance,2028-03,3,220000.0,93,0.0
Mahindra Finance,2028-04,3,220000.0,90,0.0
Mahindra Finance,2028-05,3,220000.0,67,0.0
Mahindra Finance,2028-06,2,205000.0,60,0.0
Mahindra Finance,2028-07,2,205000.0,62,0.0
Mahindra Finance,2028-08,2,205000.0,62,0.0
Mahindra Finance,2028-09,2,205000.0,60,0.0
Mahindra Finance,2028-10,2,205000.0,62,0.0
Mahindra Finance,2028-11,2,205000.0,60,0.0
Mahindra Finance,2028-12,2,205000.0,62,0.0
Mahindra Finance,2029-01,2,205000.0,62,0.0
Mahindra Finance,2029-02,2,205000.0,56,0.0
Mahindra Finance,2029-03,2,205000.0,62,0.0
Mahindra Finance,2029-04,2,205000.0,6,0.0
Shivalik,2025-08,7,7000.0,65,0.0
Shivalik,2025-09,39,663000.0,332,0.0
Shivalik,2025-10,33,1271000.0,509,0.0
Shivalik,2025-11,43,1869000.0,717,0.0
Shivalik,2025-12,68,3771000.0,1325,0.0
Shivalik,2026-01,103,5063000.0,2363,0.0
Shivalik,2026-02,135,6155000.0,2896,0.0
Shivalik,2026-03,116,5777000.0,3431,0.0
Shivalik,2026-04,105,5481000.0,3150,0.0
Shivalik,2026-05,105,5481000.0,3186,0.0
Shivalik,2026-06,101,5378000.0,3020,0.0
Shivalik,2026-07,100,5336000.0,3072,0.0
Shivalik,2026-08,99,5326000.0,3017,0.0
Shivalik,2026-09,96,5166000.0,2880,0.0
Shivalik,2026-10,96,5166000.0,2976,0.0
Shivalik,2026-11,96,5166000.0,2854,0.0
Shivalik,2026-12,95,5165000.0,2925,0.0
Shivalik,2027-01,92,5160000.0,2776,0.0
Shivalik,2027-02,89,3759000.0,2483,0.0
Shivalik,2027-03,88,3753000.0,2710,0.0
Shivalik,2027-04,85,3697000.0,2522,0.0
Shivalik,2027-05,83,3695000.0,2409,0.0
Shivalik,2027-06,73,3209000.0,1979,0.0
Shivalik,2027-07,56,2056000.0,1725,0.0
Shivalik,2027-08,55,2055000.0,1705,0.0
Shivalik,2027-09,55,2055000.0,1645,0.0
Shivalik,2027-10,54,1995000.0,1674,0.0
Shivalik,2027-11,54,1995000.0,1214,0.0
Shivalik,2027-12,27,897000.0,410,0.0
Shivalik,2028-01,1,10000.0,31,0.0
Shivalik,2028-02,1,10000.0,29,0.0
Shivalik,2028-03,1,10000.0,19,0.0
Shriram Finance,2024-03,16,292000.0,408,0.0
Shriram Finance,2024-04,48,1681000.0,859,0.0
Shriram Finance,2024-05,91,2897000.0,2219,0.0
Shriram Finance,2024-06,153,5019000.0,3558,0.0
Shriram Finance,2024-07,200,6509000.0,5509,0.0
Shriram Finance,2024-08,271,9154000.0,7372,0.0
Shriram Finance,2024-09,405,13959000.0,10493,0.0
Shriram Finance,2024-10,546,18016000.0,15043,0.0
Shriram Finance,2024-11,584,20517000.0,16968,0.0
Shriram Finance,2024-12,627,21466000.0,18858,0.0
Shriram Finance,2025-01,667,21973000.0,20161,0.0
Shriram Finance,2025-02,697,22797000.0,19056,0.0
Shriram Finance,2025-03,740,23880000.0,22256,0.0
Shriram Finance,2025-04,789,25975000.0,22680,0.0
Shriram Finance,2025-05,793,26098000.0,23980,0.0
Shriram Finance,2025-06,799,26610000.0,23269,0.0
Shriram Finance,2025-07,799,27944000.0,23862,0.0
Shriram Finance,2025-08,776,27487000.0,23632,0.0
Shriram Finance,2025-09,754,26872000.0,21403,0.0
Shriram Finance,2025-10,692,25570000.0,20139,0.0
Shriram Finance,2025-11,612,24211000.0,18082,0.0
Shriram Finance,2025-12,594,23650000.0,18103,0.0
Shriram Finance,2026-01,577,23215000.0,17590,0.0
Shriram Finance,2026-02,558,22746000.0,15348,0.0
Shriram Finance,2026-03,536,22053000.0,16270,0.0
Shriram Finance,2026-04,517,21841000.0,15100,0.0
Shriram Finance,2026-05,490,21019000.0,15052,0.0
Shriram Finance,2026-06,478,20742000.0,14020,0.0
